84,Kasam,2001,Adventure | Drama | Crime,Naseeruddin Shah | Sunny Deol | Chunky Pandey | Neelam,2
85,Awara Paagal Deewana,2002,Action | Comedy | Crime,Akshay Kumar | Sunil Shetty | Aftab Shivdasani | Preeti Jhangiani,4
86,The Legend of Bhagat Singh,2002,Biography | Drama | History,Ajay Devgn | Sushant Singh | D. Santosh | Akhilendra Mishra,1
87,Ab Ke Baras,2002,Adventure | Fantasy | Thriller,Arya Babbar | Amrita Rao | Ashutosh Rana | Shakti Kapoor,2
88,Mere Yaar Ki Shaadi Hai,2002,Comedy | Drama | Musical,Uday Chopra | Tulip Joshi | Jimmy Shergill | Bipasha Basu,5
89,Lakshya,2004,War | Drama | Romance,Amitabh Bachchan | Hrithik Roshan | Preity Zinta | Sharad S. Kapoor,2
91,Badhaai Ho Badhaai,2002,Comedy | Drama | Musical,Anil Kapoor | Anang Desai | Rohini Hattangadi | Vinay Jain,1
92,Humraaz,2002,Action | Musical | Mystery,Bobby Deol | Akshaye Khanna | Ameesha Patel | Johnny Lever,4
93,Maine Dil Tujhko Diya,2002,Romance | Action | Drama,Sohail Khan | Sameera Reddy | Sanjay Dutt | Kabir Bedi,2
94,Chori Chori,2003,Comedy | Romance | Musical,Ajay Devgn | Sonali Bendre | Rani Mukerji | Kamini Kaushal,1
95,Jaani Dushman: Ek Anokhi Kahani,2002,Action | Fantasy | Horror,Akshay Kumar | Atul Agnihotri | Raj Babbar | Rajat Bedi,2
96,Kuch Tum Kaho Kuch Hum Kahein,2002,Action | Drama | Romance,Vikram Gokhale | Dinesh Hingoo | Adi Irani | Farida Jalal,1
97,Kyaa Dil Ne Kahaa,2002,Family | Romance,Rajesh Khanna | Tusshar Kapoor | Esha Deol | Raj Babbar,2
98,Om Jai Jagadish,2002,Drama | Musical,Waheeda Rehman | Anil Kapoor | Fardeen Khan | Abhishek Bachchan,1
99,Taj Mahal: An Eternal Love Story,2005,Drama | Musical | Romance,Zulfi Sayed | Sonya Jehan | Kabir Bedi | Arbaaz Khan,1
100,Yeh Hai Jalwa,2002,Comedy | Drama | Romance,Rishi Kapoor | Salman Khan | Ameesha Patel | Rati Agnihotri,2
101,Dil Maange More!!!,2004,Romance,Shahid Kapoor | Smita Jaykar | Ayesha Takia | Tulip Joshi,2
102,Dil Hai Tumhaara,2002,Drama | Family | Romance,Arjun Rampal | Preity Zinta | Mahima Chaudhry | Jimmy Shergill,3
103,Soch,2002,Thriller,Sanjay Kapoor | Raveena Tandon | Aditi Govitrikar | Arbaaz Khan,1
104,Boom,2003,Action | Crime | Mystery,Amitabh Bachchan | Jackie Shroff | Gulshan Grover | Padma Lakshmi,2
105,Dil Ka Rishta,2003,Romance,Arjun Rampal | Aishwarya Rai Bachchan | Priyanshu Chatterjee | Rakhee Gulzar,2
106,Pran Jaaye Par Shaan Na Jaaye,2003,Drama | Comedy,Raveena Tandon | Namrata Shirodkar | Rinke Khanna | Divya Dutta,1
107,Saathiya,2002,Drama | Romance,Vivek Oberoi | Rani Mukerji | Tanuja | Satish Shah,5
108,Chor Machaaye Shor,2002,Action | Comedy | Crime,Bobby Deol | Om Puri | Paresh Rawal | Shekhar Suman,2
109,Gunaah,2002,Crime | Drama,Bipasha Basu | Dino Morea | Ashutosh Rana | Banjara,2
110,Akhiyon Se Goli Maare,2002,Comedy,Govinda | Raveena Tandon | Kader Khan | Shakti Kapoor,2
111,Chhal,2002,Action | Thriller | Drama,Kay Kay Menon | Jaya Seal | Naved Aslam | Shri Vallabh Vyas,1
112,Ek Chhotisi Love Story,2002,Comedy | Drama | Fantasy,Saroj Bhargava | Manisha Koirala | Aditya Seal | Ranvir Shorey,6
113,Shakthi: The Power,2002,Action | Drama,Karisma Kapoor | Nana Patekar | Sanjay Kapoor | Jai Gidwani,2
114,Armaan,2003,Drama | Family | Romance,Amitabh Bachchan | Anil Kapoor | Preity Zinta | Gracy Singh,2
115,Sur: The Melody of Life,2002,Drama | Musical,Lucky Ali | Simone Singh | Achint Kaur | Ehsan Khan,1
116,Dil Vil Pyar Vyar,2002,Romance,Madhavan | Jimmy Shergill | Sanjay Suri | Namrata Shirodkar,2
117,Pyaasa,2002,Romance |Drama |Musical,Aftab Shivdasani | Anang Desai | Dinesh Hingoo | Smita Jaykar,1
118,Baghban,2003,Drama | Romance,Amitabh Bachchan | Hema Malini | Aman Verma | Samir Soni,6
119,Hathyar: Face to Face with Reality,2002,Action | Thriller | Crime,Sanjay Dutt | Shilpa Shetty | Sharad S. Kapoor | Shakti Kapoor,2
120,Jeena Sirf Merre Liye,2002,Romance,Vijayendra Ghatge | Kareena Kapoor | Tusshar Kapoor | Kader Khan,2
121,Deewangee,2002,Crime | Thriller | Drama,Ajay Devgn | Akshaye Khanna | Urmila Matondkar | Farida Jalal,3
122,Ek Hindustani,2003,Action,Sunil Shetty | Raveena Tandon | Mohan Joshi | Mohnish Bahl,1
123,Talaash: The Hunt Begins...,2003,Action | Adventure | Crime,Rakhee Gulzar | Akshay Kumar | Kareena Kapoor | Pooja Batra,2
125,Annarth,2002,Action | Thriller,Sanjay Dutt | Sunil Shetty | Ashutosh Rana | Preeti Jhangiani,1
126,Ek Se Badhkar Ek,2004,Comedy | Thriller,Sunil Shetty | Raveena Tandon | Shekhar Suman | Isha Koppikar,1
128,Jaal: The Trap,2003,Action | Musical | Drama,Sunny Deol | Tabu | Reema Sen | Anupam Kher,1
129,Zindagi Khoobsoorat Hai,2002,Drama | Family,Gurdas Mann | Tabu | Ashish Vidyarthi | Rajit Kapoor,1
130,Bhoot,2003,Horror | Thriller,Ajay Devgn | Urmila Matondkar | Nana Patekar | Rekha,6
131,Maseeha,2002,Action | Crime | Drama,Sunil Shetty | Namrata Shirodkar | Inder Kumar | Manek Bedi,1
132,Rishtey,2002,Family,Anil Kapoor | Karisma Kapoor | Shilpa Shetty | Kaivalya Chheda,2
133,Satta,2003,Crime | Drama,Raveena Tandon | Atul Kulkarni | Shri Vallabh Vyas | Govind Namdeo,2
134,Karz: The Burden of Truth,2002,Action,Sunny Deol | Sunil Shetty | Shilpa Shetty | Ashutosh Rana,2
135,Chura Liyaa Hai Tumne,2003,Action | Drama | Mystery,Zayed Khan | Esha Deol | Gulshan Grover | Rakhi Sawant,1
136,Danger,2002,Crime | Drama | Thriller,Ashutosh Rana | Tara Deshpande | Jas Arora | Shishir Sharma,2
137,Love at Times Square,2003,Drama,Dev Anand | Heenee Kaushik | Shoib Khan | Chaitanya Chaudhary,1
138,The Rising: Ballad of Mangal Pandey,2005,Biography | Drama | History,Aamir Khan | Rani Mukerji | Toby Stephens | Coral Beed,2
139,Andaaz,2003,Drama | Musical | Romance,Akshay Kumar | Lara Dutta | Priyanka Chopra | Rajeev Verma,6
140,Avgat,2001,Action | Crime | Drama,Ajinkya Deo | Nethra Raghuraman | Sayaji Shinde | Rohini Hattangadi,1
141,Chalte Chalte,2003,Drama | Romance,Shah Rukh Khan | Rani Mukerji | Jas Arora | Satish Shah,6
